conversation_id,id,created_at,text,author_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
1497650959153049604,1497660875691466758,2022-02-26T19:52:32.000Z,@Oskar_Decowski @PL3JD0 @nexta_tv Trupy i zniszczone pojazdy/czołgi. Nic specjalnego,2600186222,0,0,0,0
1497658644615229440,1497660874722525192,2022-02-26T19:52:32.000Z,@IsabelleM2 @nexta_tv Sorry - but what is your alternative proposal?,968957921689329665,0,0,0,0
1497648438577491969,1497660870226329608,2022-02-26T19:52:31.000Z,@nexta_tv Welcome to the hell @KremlinRussia_E https://t.co/bHwB8OEbdv,3302407625,0,0,1,0
1497660863813230601,1497660863813230601,2022-02-26T19:52:29.000Z,RT @WBC241: Białoruś może również zostać odłączona od systemu SWIFT - NEXTA 🇧🇾🇺🇦🇷🇺,2992763470,323,0,0,0
1497660863720927237,1497660863720927237,2022-02-26T19:52:29.000Z,"RT @Mediavenir: 🇺🇦🇷🇺 Insolite : un Ukrainien a croisé un blindé russe en panne sur une route et a demandé aux soldats ""s’ils voulaient qu’i…",1490403622722719748,5637,0,0,0
1497647124363755527,1497660863381229568,2022-02-26T19:52:29.000Z,@lucas_smits @nexta_tv Now imagine flight from Moscow to Bratislava 🤣,929402549727350784,0,0,0,0
1497660861359529989,1497660861359529989,2022-02-26T19:52:29.000Z,"RT @eldiario: #26Feb | En Tallin, capital de Estonia, miles de personas se concentraron en la Plaza de la Libertad, como apoyo al gobierno…",142456718,39,0,0,0
1497649187831300097,1497660856804466698,2022-02-26T19:52:28.000Z,@nexta_tv I see the weather ☁️ that is in there advantage.,589495533,0,0,0,0
1497660852845043716,1497660852845043716,2022-02-26T19:52:27.000Z,"RT @extrablatt: @nexta_tv Berne, Switzerland today. 20 000. 💛💙
https://t.co/1Ldlycy6TH",916778612568752128,4,0,0,0
1497660841025589252,1497660841025589252,2022-02-26T19:52:24.000Z,"RT @Anonymi50030966: @vizzu19 @nexta_tv They get intercepted by fighter jets, if they don’t comply with the jets then they will get shot do…",3722723175,2,0,0,0
1497596103000219654,1497660840992030722,2022-02-26T19:52:24.000Z,@nexta_tv Xcax,1098605163760283648,0,0,0,0
1497607530809282568,1497660834398363650,2022-02-26T19:52:22.000Z,@nexta_tv Good job 💪👏👏👏🇺🇦,1457955446644486144,0,0,0,0
1497592225357774860,1497660834079821825,2022-02-26T19:52:22.000Z,@SShadow8867 @nexta_tv Let’s just surrender against bullies all the time then what if Winston Churchill chose to surrender where would the world be now. Fight for you home and your freedom at all costs,1268266222161932289,0,0,0,0
1497658644615229440,1497660831743545344,2022-02-26T19:52:22.000Z,@Ruslan_Palchuk @nexta_tv I love this picture. #RT,1377406095921143808,0,0,0,0
1497660827532501008,1497660827532501008,2022-02-26T19:52:21.000Z,"RT @PMBreakingNews: Breaking: There is a fire at an arsenal in Balakleya, Ukraine. (Via Nexta) https://t.co/t2SmYVaPPy",3014020162,54,0,0,0
1497660810897756160,1497660810897756160,2022-02-26T19:52:17.000Z,"RT @IsabelleM2: @nexta_tv That's horrible, Belarusian people have been suppressed, thousands are in prison and still people think it's a go…",2313508560,1,0,0,0
1497660869081284609,1497660869081284609,2022-02-26T19:52:31.000Z,"RT @YourAnonNews: .@bitrix24 - do you support a warmonger who is killing innocent people?
Vladimir Putin founded https://t.co/7ZwMWsqBwU, a…",982054829697716226,287,0,0,0
1497659504976179200,1497660864421367808,2022-02-26T19:52:29.000Z,@YourAnonNews @bitrix24 Eu achava que ele era uma pessoa de bem até me decepcionar com essa notícia que abalou o mundo,1497616742910210054,0,0,0,0
1497653123040657414,1497660843311435791,2022-02-26T19:52:24.000Z,@YourAnonNews #StrengthUkraine,1417089878190346247,0,0,1,0
1497659504976179200,1497660829889609733,2022-02-26T19:52:21.000Z,"@YourAnonNews @bitrix24 You know bitrix is a Russian company, right?",351077325,0,0,0,0
1497659504976179200,1497660807622103040,2022-02-26T19:52:16.000Z,@YourAnonNews @bitrix24 https://t.co/jZTYy7F0ix,749251147,0,0,0,0
1497659504976179200,1497660802144350217,2022-02-26T19:52:15.000Z,@Charles_ncharg @YourAnonNews @bitrix24 What a fear of NATO if they were the first to climb on us !!! For Ukrainians !!! We didn't deserve it !!!,1415667795094691847,0,1,0,0
1123383855044538371,1497660795123032069,2022-02-26T19:52:13.000Z,@Nadeeshahimara2 @YourAnonNews Thank you for your support of Ukraine !!,3232897743,0,0,0,0
1497660782313623555,1497660782313623555,2022-02-26T19:52:10.000Z,Love their energy! Keep up the great work #Anonymous #ShutDownRussia #PrayingForUkraine 🇺🇦 🙏 https://t.co/xUDLeCPEq9,60464946,0,0,0,0
