text,conversation_id,author_id,id,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
"RT @IB3RIB3: Dzienne przypomnienie, że Michael Clifford jest producentem 2011 i Complete Mess #COMPLETEMESS",1499343923155775493,1048818659764981760,1499343923155775493,2022-03-03T11:20:22.000Z,10,0,0,0
podoba mi się  #COMPLETEMESS,1499343444963213316,1125126400439091202,1499343444963213316,2022-03-03T11:18:28.000Z,0,0,0,0
sprzedam bardzo tanio!😞 #5sos #COMPLETEMESS #5SecondsOfSummer #5SOSMakesMeComplete #5sosberlin https://t.co/nyjRDme57I,1499342796767084549,738799230194716673,1499342796767084549,2022-03-03T11:15:53.000Z,0,0,0,0
RT @5SOS__Polska: 🔔 Nie całą godzinę po premierze #CompleteMess na YouTube ma ponad 60 tysięcy polubień i blisko 7 tysięcy wyświetleń. http…,1499342634841694212,783304810548330496,1499342634841694212,2022-03-03T11:15:15.000Z,3,0,0,0
"RT @hemmowife0: Mike: zaczyna spiewac
Fandom: *dies* 
#5SecondsOfSummer #COMPLETEMESS #sikajzsosiarami https://t.co/mvhfzNKZur",1499341988235288577,1064235824697540608,1499341988235288577,2022-03-03T11:12:41.000Z,24,0,0,0
"RT @hemmowife0: Mysle ze rel kochani, nie zaprzeczycie
#5SecondsOfSummer #COMPLETEMESS https://t.co/RCRBCh2dtd",1499341228403576837,1361645531697713154,1499341228403576837,2022-03-03T11:09:39.000Z,8,0,0,0
haloooo potrzebuje wiecej sosiar na tl tylko pls nikt kto ma coś wspólnego z 1d i najlepiej osoby nie młodsze niż 17 lat bo mi będzie niezręcznie🙏🙏 #COMPLETEMESS #5SOS5 #5SOSCompleteMess,1499341020038942720,3177938187,1499341020038942720,2022-03-03T11:08:50.000Z,0,0,0,0
"RT @belcia_: pov: słuchasz teraz ciągle #COMPLETEMESS 
#5SecondsOfSummer https://t.co/pPhGCbUUtz",1499339726804946946,1404903796090847238,1499339726804946946,2022-03-03T11:03:41.000Z,3,0,0,0
RT @al_luse_: Przyjaciółka mi pisała że w radiu mówili o Complete Mess i 5sos a potem puścili. Czuję że Complete Mess będzie takim hitem w…,1499339717573292033,1329588579509690370,1499339717573292033,2022-03-03T11:03:39.000Z,7,0,0,0
"RT @MSzostkiewicz: W całej Rosji, jak długa i szeroka dziś w szkołach specjalne lekcje z rządowym przekazem. Tam już porządki a la #lexCzar…",1499344199971491841,1009717165,1499344199971491841,2022-03-03T11:21:28.000Z,1,0,0,0
"RT @AgaBak: Rodzice, nauczyciele i uczniowie zrobili wszystko, co było w ich mocy. Prezydent Duda zrobił to, co do niego należało. Dziękuję…",1499344177636814851,1066793492280676353,1499344177636814851,2022-03-03T11:21:23.000Z,70,0,0,0
"W całej Rosji, jak długa i szeroka dziś w szkołach specjalne lekcje z rządowym przekazem. Tam już porządki a la #lexCzarnek wprowadzono dawno, wiec operacja idzie bez problemów. https://t.co/zM34Fhx0KW",1499343855761739778,1130809189,1499343855761739778,2022-03-03T11:20:06.000Z,1,1,1,0
"Prezydent #Duda  wyrzucił do kosza #lexCzarnek.  @RyszardTerlecki  nie gryzł się w język. Wideo Justyny Dobrosz-Oracz.
#PiS  #Czarnek

https://t.co/u5ll6NYQ06",1499343609765711875,791582583561781248,1499343609765711875,2022-03-03T11:19:07.000Z,0,0,0,0
"RT @kolter_hugh: #Anżej zawetował #lexCzarnek. 
prawactwo wyje tak żałośnie z rozpaczy, jakby im się łeb 
ze 3 ruskie Iskandery na puste łb…",1499343163961622529,739358302442795009,1499343163961622529,2022-03-03T11:17:21.000Z,1,0,0,0
"RT @kolter_hugh: Dlaczego #Duda zawetował #lexCzarnek ?

#ZAPODAJDALEJ 
nie odpowiadam, nie komentuje",1499343118117875714,739358302442795009,1499343118117875714,2022-03-03T11:17:10.000Z,12,0,0,0
RT @salatkagyrosik: Kim jesteś i co zrobiłeś z Andrzejem Duda? #lexCzarnek https://t.co/iT4J6N8OEL,1499342968502853633,1379924539111579649,1499342968502853633,2022-03-03T11:16:34.000Z,154,0,0,0
