text,conversation_id,id,created_at,author_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
"💛💙A Ty 👇 oddałeś już wszystkie swoje oszczędności na rzecz Ukrainy🇺🇦🇺🇦🇺🇦? 
Jeśli nie, to ‼️‼️‼️WSTYDŹ SIĘ‼️‼️‼️
#StandWithUkraine️ #zaporożu #Pepsi #Lugola #StopPutinNOW #NATO #Rydzyk #PutinWarCrimes #SlavaUkraini https://t.co/rRUdFn3dOv",1499762879549124616,1499762879549124616,2022-03-04T15:05:09.000Z,1277188930853634049,0,1,2,0
"RT @kalwak15: Atak #Rosji na #Czarnobyl to tak, jak nakierowanie rakiety z głowicą jądrową na cel. 
Atak Rosji na elektrownię jądrową w #Za…",1499732335775956995,1499732335775956995,2022-03-04T13:03:47.000Z,990918460208222208,1,0,0,0
"Atak #Rosji na #Czarnobyl to tak, jak nakierowanie rakiety z głowicą jądrową na cel. 
Atak Rosji na elektrownię jądrową w #Zaporożu to wystrzelenie na oślep rakiety dalekiego zasięgu z głowicą atomową. Która przypadkowo nie wybuchła. 
Rosja zaatakowała w tym momencie Ziemię!",1499729039745069056,1499729039745069056,2022-03-04T12:50:41.000Z,3668363002,1,1,6,0
Czy jesteś za powszechnym dostępem do broni? #StandWithUkraine️ #lugola #zaporożu #StopPutinNOW,1499725700068225024,1499725700068225024,2022-03-04T12:37:25.000Z,978963999919366149,0,1,2,2
Kolejny ukraiński fejk.Flara oświetlająca elektrownię atomową w #Zaporożu jako atak nuklearny #Zaporizhzhya #Zaporizhya #UkraineRussiaConflict #UkraineRussiaCrisis #UkraineCrisis #Russian #Putin #WARINUKRAINE #Ukrainian #NATOterrorists #NATO #wojnanaukrainie #RussianUkrainianWar https://t.co/ePxksxiMNd,1499684839158603779,1499684839158603779,2022-03-04T09:55:03.000Z,1423995923961729024,0,0,3,0
"Pożar wybuchł w części administracyjnej elektrowni atomowej. Nie ma żadnego zagrożenia radiacyjnego. Elektrownia jest zupełnie innego typu niż ta w Czarnobylu. Agencja Reuters podaje, że została w pełni przejęta przez Rosję. #WojnaWUkrainie #Zaporożu",1499645899634618368,1499645899634618368,2022-03-04T07:20:19.000Z,1488947490636414978,0,0,2,0
"Jeśli barany z NATO myślą ze złamią ten naród🇷🇺 wyłączeniem SWIFT i innym sankcjami albo ze Putin sobie w łeb strzeli to oznacza tylko jedno - odlecieli już i stracili kompletnie kontakt z rzeczywistością
#Zaporożu #StandWithUkraine️ #llamateam #Czarnobyl
https://t.co/fS6wPrFKZH",1499572548387885075,1499572548387885075,2022-03-04T02:28:50.000Z,1277188930853634049,0,1,2,0
"RT @ChrisRevievvs: 🚨PILNE Poważne walki o elektrownię nuklearną w #Zaporożu. Trwa wymiana ognia. 

Ukraińcy bronią największej elektrowni a…",1499564451988656140,1499564451988656140,2022-03-04T01:56:40.000Z,1358936051549626375,8,0,0,0
"🚨PILNE Poważne walki o elektrownię nuklearną w #Zaporożu. Trwa wymiana ognia. 

Ukraińcy bronią największej elektrowni atomowej w Europie. #StopPutinNOW 

#Ukraine #Ukraina #attack #Kyiv #StandWithUkraine️ #Russian #nuclear https://t.co/hZ6ND7dgjW",1499535042065977352,1499535042065977352,2022-03-03T23:59:48.000Z,939440636951957504,8,1,12,0
"""Od ponad godziny trwają zacięte walki na podejściach do elektrowni jądrowej w #Zaporożu. Nasze Siły Zbrojne się bronią. Wiemy o ofiarach, ale nie możemy jeszcze podać dokładnej liczby i stanu w tych okolicznościach” #Energodar - powiedział burmistrz Dmytro Orłow.

#StopPutinNOW",1499528360338366467,1499528360338366467,2022-03-03T23:33:15.000Z,1496881664244473856,0,0,1,0
