conversation_id,id,text,author_id,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
1500049895297798157,1500049895297798157,"Konsumenci bojkotują @CocaCola. A w mediach pojawiają się sprzeczne informacje dotyczące decyzji koncernu o wycofaniu się z rynku rosyjskiego. Czy producent rzeczywiście pozostanie w Rosji? #CocaCola #CocaColaBanRussia #Rosja #wojna #Pepsi

https://t.co/FshVbK6XDt",1390737320110854152,2022-03-05T10:05:39.000Z,0,0,0,0
1499912137610772480,1499912137610772480,"Jeszcze chwila i dojdę do wniosku, że wojnę wywołały światowe koncerny, aby ostatecznie ustalić udziały w rynku. #CocaCola #Pepsi",1426307946833747971,2022-03-05T00:58:15.000Z,0,0,0,0
1499900039338115074,1499900039338115074,"W obliczu dalszej działalności koncernu @CocaCola na rynku rosyjskim, Ukraina zwraca się oficjalnie do @pepsi  

https://t.co/oKfPH9TLuk

#pepsi #CocaCola #ukraina #wojna #rosja",1033746984782516224,2022-03-05T00:10:10.000Z,0,0,5,0
1499865912727556096,1499865912727556096,"Najlepszy krok marketingowy dla @pepsi wycofać się z rosji. Rywalizacje z @CocaCola maja wygrana prawie na całym świecie. Czekam na decyzje. Jak nie podejmią, cóż pozostaje czysta whisky.  #CocaCola #Pepsi #rosja @PEPSIpl @cocacolapolska",4042225577,2022-03-04T21:54:34.000Z,0,0,6,0
1499833437422854144,1499860764592676864,@PNisztor @KomornickiLeon @C_Kazmierczak To samo dotyczy #kfc #pepsi #McDonald,1461073648308080642,2022-03-04T21:34:07.000Z,0,0,0,0
1499837847766974464,1499837847766974464,"https://t.co/Dr4IIL9opd
Zaczyna się! Rekordowe ceny paliwa i rekordowo słaby złoty. Będziemy klepać biedę przez polityków
#PiS #paliwo #benzyna #ropa #inflacja #wojna #SlavaUkraini #UkraineUnderAttaсk #polska #ukraina #putin #orlen #bp #shell #pepsi #polin",1194708412178845696,2022-03-04T20:03:03.000Z,0,0,0,0
1499835902176251916,1499835902176251916,"RT @FRONTSTORY_PL: https://t.co/sZESQXWRM2

#CocaCola nie wycofa się z działalności w Rosji. Przypominamy, jak w 2019 roku korporacja korzy…",844983329896222726,2022-03-04T19:55:19.000Z,5,0,0,0
1499835840079532033,1499835840079532033,"Wszyscy piszą że wybierają Pepsi zamiast Coca-Coli to ja mam propozycję. Pijcie wodę zamiast pić ten syf.
#Russia #CocaCola #pepsi #Ukraine #UkraineRussianWar",1214899571991752709,2022-03-04T19:55:04.000Z,0,0,0,0
1499827446375399430,1499827446375399430,"#CocaCola nie wychodzi z rynku rosyjskiego bo to największy pieniążek jeśli chodzi o Europę. Widać kolor etykiety odpowiada poglądom politycznym. #CocaColaIsOverParty #CocaColaBanRussia dobrze, że zawsze wolałem #PEPSI",1476173022801371139,2022-03-04T19:21:43.000Z,0,0,0,0
1499826943113449473,1499826943113449473,"Jaka cola? 

🎶Zawszę piję pe-psi

❤️🇪🇺🇺🇦

#PEPSI #CocaCola",2674710805,2022-03-04T19:19:43.000Z,0,0,1,0
1499826688758358023,1499826688758358023,"#PEPSI #Russians Czy naprawdę wedle waszej ""propagandy"" nakazujecie wszystkim firmą powychodzić z rosyjskiego rynku, a gdy tak się nie stanie reagujecie jak zwierzęta, szczekając?",701496805675106309,2022-03-04T19:18:42.000Z,0,2,1,0
1499825882709565443,1499825882709565443,"https://t.co/sZESQXWRM2

#CocaCola nie wycofa się z działalności w Rosji. Przypominamy, jak w 2019 roku korporacja korzystała z farmy trolli, która miała blokować wprowadzenie podatku cukrowego. Przeczytajcie nasze śledztwo.

#RussiaSanctions #PEPSI #sankcje #RussianUkrainianWar",1460607542611042312,2022-03-04T19:15:30.000Z,5,1,12,0
1499825705114390534,1499825705114390534,"Moja ulubiona reklama. Od lat.😁
#pepsi vs #cola #CocaCola https://t.co/hdWnt5TkdW",788082651248922624,2022-03-04T19:14:48.000Z,0,1,0,0
